web-scraper-order,web-scraper-start-url,nome,esporte,perfil,perfil-href,ficha,bio
"1649262271-427","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=5","Douglas Chiarotti","Vôlei","Douglas Chiarotti
																													

														
															Vôlei
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/douglas-chiarotti/","Nome completo: Douglas Chiarotti

                                                        
                                                        
                                                                                                                    Data de nascimento: 10/11/1970

                                                        
                                                                                                                    Local de nascimento: Santo André, SP","Integrante da geração dourada do vôlei brasileiro, o central foi peça constante na seleção brasileira até os Jogos Olímpicos Sidney 2000. Na temporada 2005/2006, atuando em Florianópolis, sofreu uma ruptura no tendão do joelho direito. Após mais de um ano de tratamento, decidiu encerrar a carreira e virar técnico."
"1649261990-388","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=7","Fernanda Garay","Vôlei","Fernanda Garay
																													

														
															Vôlei
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/fernanda-garay-rodrigues/","Nome completo: Fernanda Garay Rodrigues

                                                        
                                                        
                                                                                                                    Data de nascimento: 10/05/1986

                                                        
                                                                                                                    Local de nascimento: Porto Alegre, RS","Apesar de ter defendido a seleção brasileira desde as categorias de base, Fernanda Garay só conseguiu se firmar na equipe adulta em 2010, após terminar a temporada como a maior pontuadora da Superliga. Em Londres 2012, foi a responsável pelo ataque que garantiu a medalha de ouro olímpica ao Brasil."
"1649262783-502","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=3","Babi Arenhart","Handebol","Babi Arenhart
																													

														
															Handebol
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/barbara-elisabeth-arenhart/","Nome completo: Bárbara Elisabeth Arenhart

                                                        
                                                        
                                                                                                                    Data de nascimento: 04/10/1986

                                                        
                                                                                                                    Local de nascimento: Novo Hamburgo, RS","Tricampeã dos Jogos Pan-americanos (Guadalajara 2011, Toronto 2015 e Lima 2019), Babi Arenhart é uma das líderes da seleção feminina de handebol. A goleira, que integrou o elenco campeão mundial em 2013, disputou ainda os Jogos Olímpicos Rio 2016, quando o Brasil acabou derrotado nas quartas de final para a Holanda."
"1649261025-248","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=11","Marcus Mattioli","Natação","Marcus Mattioli
																													

														
															Natação
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/marcus-laborne-mattioli/","Nome completo: Marcus Laborne Mattioli

                                                        
                                                        
                                                                                                                    Data de nascimento: 18/10/1960

                                                        
                                                                                                                    Local de nascimento: Belo Horizonte, MG","Especialista nos nados borboleta e livre, Marcus Mattioli disputou uma única edição dos Jogos Olímpicos: Moscou 1980. Na ocasião, o nadador esteve inscrito em quatro provas: 100 e 200m borboleta, 200m livre e revezamento 4x200m livre. Foi justamente nesta última, ao lado de Cyro Delgado, Djan Madruga e Jorge Fernandes, em que conquistou a medalha de bronze. Atualmente, Mattioli disputa campeonatos na categoria máster."
"1649261000-244","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=11","Maria Bruno","Nado Artístico","Maria Bruno
																													

														
															Nado Artístico
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/maria-bruno/","Nome completo: Maria Bruno

                                                        
                                                        
                                                                                                                    Data de nascimento: 28/08/1992

                                                        
                                                                                                                    Local de nascimento: Rio de Janeiro, RJ","Maria Bruno se dividia entre a ginástica artística e a natação, quando se encantou por um treinamento da equipe de nado artístico. A mudança de esporte se mostrou uma decisão acertada, e Maria chegou à seleção brasileira em 2007. Em 2016, disputou os Jogos Olímpicos no Rio de Janeiro com a família na arquibancada."
"1649262371-442","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=5","Dario Barbosa","Tiro esportivo","Dario Barbosa
																													

														
															Tiro esportivo
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/dario-barbosa/","Nome completo: Dario Barbosa

                                                        
                                                        
                                                                                                                    Data de nascimento: 21/07/1882

                                                        
                                                                                                                    Local de nascimento: Porto Alegre, RS","O médico Dario Barbosa foi um dos integrantes da equipe brasileira que conquistou a medalha de bronze por equipes, na modalidade pistola livre, nos Jogos Olímpicos Antuérpia 1920. Por morar em Porto Alegre, o atirador participava com frequência de competições nos países vizinhos da América do Sul. Integrou o clube Tiro 4, juntamente com Sebastião Wolf."
"1649261140-265","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=11","Maicon Andrade","Taekwondo","Maicon Andrade
																													

														
															Taekwondo
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/maicon-de-andrade-siqueira/","Nome completo: Maicon de Andrade Siqueira

                                                        
                                                        
                                                                                                                    Data de nascimento: 09/01/1993

                                                        
                                                                                                                    Local de nascimento: Belo Horizonte, MG","Maicon Andrade pode ser considerado um dos maiores lutadores do taekwondo brasileiro, tendo em vista que conquistou medalhas nas principais competições de seu esporte: bronze nos Jogos Olímpicos Rio 2016; bronze no Mundial de Manchester, em 2019; bronze nos Jogos Pan-americanos Lima 2019; e ouro nos Jogos Sul-americanos Cochabamba 2018. E esse currículo vitorioso não veio por acaso. Após iniciar no esporte em um projeto social em Ribeirão das Neves (MG) e conciliar o taekwondo com os trabalhos de auxiliar de pedreiro e garçom, para ajudar em casa, Maicon só começou a se dedicar exclusivamente à luta em 2013, quando se mudou para São Caetano do Sul (SP)."
"1649262231-421","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=5","Dunga","Futebol","Dunga
																													

														
															Futebol
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/carlos-caetano-bledorn-verri/","Nome completo: Carlos Caetano Bledorn Verri

                                                        
                                                        
                                                                                                                    Data de nascimento: 31/10/1963

                                                        
                                                                                                                    Local de nascimento: Ijuí, RS","Símbolo de raça e liderança, Dunga é um dos personagens mais importantes da história da seleção brasileira. Após participar dos Jogos Olímpicos Los Angeles 1984, o então volante foi convocado para a Copa do Mundo de 1990. A eliminação precoce naquele Mundial fez com que os críticos não perdessem a oportunidade de hostilizar o atleta e também o técnico Sebastião Lazaroni. Mas Dunga deu a volta por cima em 1994. Ele foi o capitão da equipe na conquista do tetracampeonato mundial. Disputaria ainda a Copa de 1998, colocando ponto final ao que a imprensa chamava de “a Era Dunga”. O meio-campo encerrou sua carreira em 2000, no Internacional, clube pelo qual iniciara sua carreira no início dos anos 1980. Em 2006, retornou à seleção como treinador e ajudou o país a conquistar a medalha de bronze nos Jogos Olímpicos Pequim 2008. Na Copa do Mundo de 2010, viu sua equipe ser eliminada nas quartas de final para a Holanda e deixou o cargo. Após a Copa de 2014, foi novamente chamado pela CBF e assumiu pela segunda vez o posto de técnico da seleção brasileira, tendo permanecido no cargo até 2016."
"1649260518-176","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=14","Rafinha Alcântara","Futebol","Rafinha Alcântara
																													

														
															Futebol
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/rafael-alcantara-do-nascimento/","Nome completo: Rafael Alcântara do Nascimento

                                                        
                                                        
                                                                                                                    Data de nascimento: 12/02/1993

                                                        
                                                                                                                    Local de nascimento: São Paulo, SP","Filho do tetracampeão Mazinho, Rafinha só atuou profissionalmente por clubes da Europa. Assim como o irmão Thiago, formou-se meio-campista nas categorias de base do Barcelona. Após atuar pela seleção espanhola nas divisões inferiores, escolheu defender o país de nascimento ao se tornar adulto. A opção se mostrou acertada: Rafinha fez parte do elenco que conquistou a inédita medalha de ouro olímpica no Rio 2016."
"1649261253-281","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=10","Luan Garcia","Futebol","Luan Garcia
																													

														
															Futebol
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/luan-garcia-teixeira/","Nome completo: Luan Garcia Teixeira

                                                        
                                                        
                                                                                                                    Data de nascimento: 10/05/1993

                                                        
                                                                                                                    Local de nascimento: Vitória, ES","null"
"1649262589-474","https://www.cob.org.br/pt/cob/time-brasil/atletas?&page=4","Carlos Honorato","Judô","Carlos Honorato
																													

														
															Judô
															+","https://www.cob.org.br/pt/cob/time-brasil/atletas/carlos-eduardo-honorato/","Nome completo: Carlos Eduardo Honorato

                                                        
                                                        
                                                                                                                    Data de nascimento: 09/11/1974

                                                        
                                                                                                                    Local de nascimento: São Paulo, SP","Como os pais não queriam o ver nas ruas da Vila Sônia, bairro da zona oeste de São Paulo, Carlos Honorato acabou entrando em uma escolinha de judô aos 8 anos. A opção pela modalidade também teve influência familiar, pois seu pai é ex-judoca. Após ser reserva da delegação brasileira em Atlanta 1996, o peso médio teve sua primeira experiência olímpica em Sidney 2000, conquistando a medalha de prata. Já em Atenas 2004, ficou a uma luta da disputa por medalhas, sendo derrotado nas quartas de final e, posteriormente, na repescagem."
